Name,Et_eV,Sn_cm2,Sp_cm2,k,logSn,logSp,logk,bandgap,actual,predicted,predicted_proba
D-027,-0.16605876013869947,3.750793463856065e-13,1.676854089051094e-15,223.68037197431894,-12.425876849466222,-14.775504725752214,2.349627876285991,0,0,1,0.9999999999999998
D-067,-0.0725939523411645,3.8435696417046545e-13,1.342541480861541e-14,28.629056878288363,-12.415265245534213,-13.872072286908882,1.456807041374668,0,0,0,0.9999999999999998
D-055,-0.06838786890805565,4.168440156376577e-14,1.9268822342776681e-13,0.21633082096162476,-13.380026429009693,-12.71514482741318,-0.6648816015965135,0,0,1,0.9999999999999998
D-069,-0.05864998167907559,2.76744889586865e-15,7.369861925212596e-14,0.037550892051329963,-14.557920390123012,-13.132540648596848,-1.4253797415261646,0,0,0,0.9999999999999998
D-041,-0.2775474873681603,1.8042176785429055e-14,9.636415052775436e-13,0.018722913746053966,-13.743711066080733,-12.016084502649607,-1.7276265634311265,0,0,1,0.9999999999999998
D-053,-0.3003607584363824,1.5530011941436433e-14,5.805467347071741e-15,2.6750666247859822,-13.808828210330814,-14.236162813292392,0.42733460296157794,0,0,0,0.9999999999999998
D-058,0.43588667579718343,1.7122965617110528e-15,1.2458099719631764e-13,0.013744444178856395,-14.76642101538278,-12.904548197180574,-1.8618728182022077,1,1,1,0.9999999999999998
D-094,0.28353480972374046,8.586833109923531e-15,1.1952651766190025e-14,0.7184040226297526,-14.066166977784128,-13.922535733237659,-0.14363124454646867,1,1,0,0.9999999999999998
D-045,0.40509925447168216,1.0731104652184344e-13,6.687741076478676e-13,0.1604593319248932,-12.969355569771704,-12.174720549449619,-0.7946350203220841,1,1,0,0.9999999999999998
D-054,-0.2626138203456055,1.6501413737782278e-15,2.9655548353678015e-14,0.055643596742785226,-14.78247884656088,-13.527894041120623,-1.2545848054402557,0,0,0,0.9999999999999998
