Name,Et_eV,Sn_cm2,Sp_cm2,k,logSn,logSp,logk,bandgap,actual,predicted,predicted_proba
D-2394,0.33806640155660117,9.241206391995732e-16,4.4687242859732637e-13,0.002067974169049243,-15.034271330166568,-12.349816439874044,-2.684454890292524,1,1,1,0.5518096020744483
D-3417,-0.3176291633564582,1.2156555733493877e-13,2.6344924110157934e-13,0.46143825211501055,-12.915189454489344,-12.579303048128851,-0.3358864063604919,0,0,1,0.527081467935235
D-2368,-0.1996997171753962,8.796531392623904e-16,3.1667959398233577e-14,0.027777386228158958,-15.055688543077336,-13.499379920544705,-1.5563086225326312,0,0,0,0.5786159627425763
D-2764,0.3278822522545687,9.197541242335077e-13,1.447348276108421e-13,6.354753305862982,-12.036328256089563,-12.839426951816417,0.8030986957268537,1,1,1,0.533242637355789
D-2094,0.4544039901130146,3.231260043588726e-13,2.1313254848298404e-14,15.160800481146133,-12.490628089660742,-13.67135022204957,1.1807221323888288,1,1,0,0.761874133626962
D-0739,-0.27029944260236055,2.5613813877021074e-14,2.003732530749204e-13,0.12783050374215346,-13.591525750605195,-12.698160250954603,-0.8933654996505915,0,0,1,0.5180687659271151
D-5771,0.3195086967179861,3.40943978909224e-15,2.897129576586264e-14,0.1176833724195947,-14.46731697481779,-13.538032080171481,-0.9292848946463081,1,1,1,0.6335536564193387
D-0099,-0.25835929296481147,5.303968568841607e-13,5.200114566348061e-14,10.199714835449251,-12.27539905821171,-13.283987088098916,1.008588029887207,0,0,1,0.6665822913924871
D-2845,0.016284968180216186,2.4145466003488834e-13,1.7346677224654002e-15,139.19360861325094,-12.617164408371286,-14.760783702498394,2.1436192941271073,1,1,0,0.689884401864791
D-5581,0.15564410179606702,1.5464183423504637e-13,1.114788133560356e-14,13.871858659022394,-12.810673007702764,-13.952807662811878,1.1421346551091132,1,1,1,0.6317855120510454
D-4360,-0.16934033674502152,1.5047666792269078e-14,2.110628049299031e-15,7.129473522000533,-13.822530834143022,-14.675588294579454,0.8530574604364327,0,0,0,0.61459295029559
D-7662,-0.4798884735698431,5.472368760636366e-13,6.15426469796058e-15,88.91994461092676,-12.261824644966039,-14.210823828466943,1.948999183500903,0,0,0,0.5393217303906813
D-3343,-0.2643811932364109,2.2292342683353313e-15,7.671483853312563e-13,0.0029058710295958496,-14.651844289483346,-12.115120624711077,-2.5367236647722695,0,0,0,0.5154718622819041
D-4547,0.19126580813836613,2.273578763551441e-13,9.735194124519988e-13,0.23354221132837905,-12.64328999594172,-12.011655384013773,-0.6316346119279452,1,1,1,0.5562974920464894
