Name,Et_eV,Sn_cm2,Sp_cm2,k,logSn,logSp,logk,bandgap,actual,predicted
D-018,-0.37182675201436044,2.6906099789334078e-14,8.541210269838144e-15,3.150150732660039,-13.570149251427289,-14.068480586422067,0.4983313349947773,0,0.4983313349947773,0.7707195962928403
D-028,-0.19120095676802507,2.6133066878471174e-15,9.254165076784504e-14,0.028239248664398683,-14.58280962011429,-13.033662757775696,-1.5491468623385931,0,-1.5491468623385931,-1.4137292775175507
D-029,-0.3385725332560311,6.855993585979467e-13,2.4459295201722395e-15,280.3021726274711,-12.163929597382266,-14.611556061380387,2.4476264639981213,0,2.4476264639981213,1.6941244773206963
D-065,-0.21738734299530826,1.3555054128836004e-15,1.01914223148006e-14,0.13300453764093884,-14.867898743829873,-13.991765201630072,-0.876133542199801,0,-0.876133542199801,-0.8044970524896512
D-056,0.366072690355698,9.395747345296285e-13,2.5163313004081684e-13,3.733907114604592,-12.027068670057366,-12.599232180211288,0.5721635101539221,1,0.5721635101539221,0.3397111751319628
D-089,-0.12490616328063242,1.7671754659363435e-14,4.316751002436091e-14,0.40937627973887436,-13.75272032649517,-13.364843001468067,-0.38787732502710304,0,-0.38787732502710304,-0.49151126502735465
D-048,0.24812280481260873,8.331351967438866e-15,3.673112987463485e-15,2.2681992075588684,-14.07928451787822,-14.434965712254435,0.3556811943762144,1,0.3556811943762144,0.551424004123149
D-073,0.4341953265785905,3.4826213359843642e-15,4.684639819090239e-14,0.0743412827981446,-14.458093743638964,-13.329323794444257,-1.1287699491947059,1,-1.1287699491947059,-0.9387300008999808
D-024,-0.24542721925785355,8.984989629221243e-16,1.9867689045886967e-14,0.045224130539134474,-15.04648241983209,-13.701852645873927,-1.3446297739581634,0,-1.3446297739581634,-2.821434737816855
D-053,-0.3003607584363824,1.5530011941436433e-14,5.805467347071741e-15,2.6750666247859822,-13.808828210330814,-14.236162813292392,0.42733460296157794,0,0.42733460296157794,0.28564440318807593
